City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ullal,12.8,74.85,24.53,94,75,2.06,IN,1730846691
83,ratnagiri,16.9833,73.3,24.25,60,0,2.7,IN,1730846692
84,zhezqazghan,47.7833,67.7667,7.16,95,72,9.24,KZ,1730846693
85,isafjordur,66.0755,-23.124,6.26,89,100,5.21,IS,1730846694
86,bang saphan,11.2126,99.5117,23.84,94,90,1.96,TH,1730846697
87,shenjiamen,29.9576,122.298,15.56,63,0,7.12,CN,1730846698
88,kuta,-8.7233,115.1723,25.97,100,20,2.57,ID,1730846699
89,kailua-kona,19.6406,-155.9956,28.98,84,40,6.69,US,1730846453
90,san luis de la loma,17.2706,-100.8939,28.13,78,15,2.12,MX,1730846701
91,iqaluit,63.7506,-68.5145,-6.15,67,100,5.14,CA,1730846702
92,kushiro,42.975,144.3747,1.53,80,75,3.6,JP,1730846703
93,ancud,-41.8697,-73.8203,10.57,90,100,7.06,CL,1730846704
94,kirensk,57.7853,108.1119,-4.17,90,50,3.17,RU,1730846706
95,prado,-17.3411,-39.2208,23.36,88,96,2.73,BR,1730846707
96,dryden,49.7833,-92.7503,0.16,100,100,2.57,CA,1730846708
97,el calafate,-50.3408,-72.2768,6.52,64,49,8.35,AR,1730846709
98,fort bragg,35.139,-79.006,23.91,65,40,2.06,US,1730846710
99,cabo san lucas,22.8909,-109.9124,28.17,47,0,4.12,MX,1730846123
100,wailua homesteads,22.0669,-159.378,27.44,85,20,4.12,US,1730846712
101,passo fundo,-28.2628,-52.4067,25.14,73,40,5.14,BR,1730846713
102,benjamin constant,-4.3831,-70.0311,30.03,74,20,0.51,BR,1730846715
103,hozat,39.1083,39.2213,0.57,61,0,2.64,TR,1730846716
104,leava,-14.3,-178.1667,27.43,73,100,3.25,WF,1730846717
105,forster,-32.1667,152.5167,22.43,88,82,1.72,AU,1730846718
106,tabasco,18.0,-92.6667,33.06,69,40,0.0,MX,1730846719
107,taiynsha,53.8478,69.7639,-1.72,67,100,5.54,KZ,1730846720
108,new norfolk,-42.7826,147.0587,17.62,39,100,2.34,AU,1730846721
109,roccella ionica,38.322,16.4009,16.27,81,63,2.23,IT,1730846722
110,port elizabeth,-33.918,25.5701,13.16,96,20,2.06,ZA,1730846724
111,selfoss,63.9331,-20.9971,9.47,91,97,10.93,IS,1730846725
112,weno,7.4515,151.8468,29.97,79,20,3.6,FM,1730846726
113,vorkuta,67.5,64.0,-3.63,95,100,6.74,RU,1730846727
114,thames,-37.1333,175.5333,19.06,65,100,0.88,NZ,1730846728
115,shingu,33.7333,135.9833,16.13,83,6,2.68,JP,1730846729
